KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME
1,6.98,6.98,2,7.07,7.07,3,7.17,7.17,5,7.47,7.47,4,7.24,7.24
1,9.21,16.19,3,9.32,16.39,4,9.32,16.49,5,9.44,16.91,2,9.11,16.35
1,8.82,25.01,3,8.86,25.25,4,8.85,25.34,5,9.02,25.93,2,8.76,25.11
2,8.90,33.91,3,8.84,34.09,4,8.78,34.12,5,9.14,35.07,1,8.74,33.85
2,9.20,43.108,3,9.12,43.210,4,9.94,44.058,5,9.60,44.661,1,9.08,42.928
