Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
2,14.75,14.75,3,14.76,14.76,1,14.70,14.70,4,14.90,,5,15.04,15.04
2,11.29,26.04,4,11.46,26.22,3,11.40,26.10,1,11.01,,5,11.32,26.36
2,10.78,36.82,4,10.80,37.02,3,10.85,36.95,1,10.82,,5,10.76,37.12
4,10.40,47.22,1,9.89,46.91,3,10.16,47.11,2,10.25,,5,10.21,47.33
4,9.82,57.04,1,9.78,56.69,3,9.84,56.95,2,9.86,,5,9.85,57.18
4,9.81,1:06.85,1,9.94,1:06.63,3,9.89,1:06.84,2,9.90,,5,9.83,1:07.01
3,9.76,1:16.61,1,9.75,1:16.38,4,9.87,1:16.71,2,9.76,,5,9.88,1:16.89
3,9.83,1:26.44,1,9.84,1:26.22,4,9.83,1:26.54,2,9.83,,5,10.01,1:26.90
3,10.06,1:36.489,1,9.97,1:36.166,2,9.79,1:36.299,2,9.89,,4,10.46,1:37.347
