Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
1,7.09,7.09,2,7.20,7.20,4,7.52,7.52,3,7.43,7.43
1,9.06,16.15,2,8.95,16.15,3,9.04,16.56,4,9.26,16.69
2,8.74,24.89,1,8.65,24.80,3,8.67,25.23,4,8.73,25.42
2,8.78,33.67,1,8.76,33.56,3,8.66,33.89,4,8.84,34.26
2,9.03,42.693,1,9.09,42.648,3,8.94,42.824,4,9.22,43.476
