Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
2,13.00,13.00,4,13.26,13.26,3,13.10,13.10,1,12.85,12.85
3,9.78,22.79,4,9.77,23.03,2,9.68,22.79,1,9.79,22.65
4,9.88,32.67,3,9.61,32.64,2,9.70,32.49,1,9.66,32.31
2,9.16,41.84,4,9.43,42.07,3,9.43,41.92,1,9.41,41.72
1,8.82,50.66,4,9.37,51.44,3,9.25,51.18,2,9.08,50.80
2,9.22,59.88,4,9.29,1:00.74,3,9.27,1:00.45,1,8.96,59.77
2,9.43,1:09.32,3,9.13,1:09.87,4,9.61,1:10.06,1,9.47,1:09.24
2,9.54,1:18.86,3,9.47,1:19.34,4,10.63,1:20.70,1,9.46,1:18.70
2,9.91,1:28.764,3,9.69,1:29.023,4,11.49,1:32.184,1,9.99,1:28.689
