Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,6.92,6.92,1,6.70,6.70,3,7.02,7.02,4,7.15,7.15
2,8.68,15.60,1,8.76,15.46,3,8.90,15.92,4,8.85,16.00
1,8.43,24.03,2,8.62,24.08,4,8.39,24.31,3,8.30,24.30
1,8.65,32.68,2,8.72,32.80,4,8.74,33.05,3,8.61,32.91
1,8.82,41.497,3,8.88,41.672,4,8.93,41.972,2,8.74,41.647
