Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
1,12.13,12.13,2,12.23,12.23,4,12.36,12.36,3,12.24,12.24
1,9.10,21.23,2,9.07,21.30,3,9.08,21.44,4,9.33,21.57
1,9.26,30.49,2,9.23,30.53,3,9.27,30.71,4,9.25,30.82
1,8.98,39.47,4,25.51,56.04,2,9.00,39.71,3,9.01,39.83
1,9.14,48.61,4,16.31,1:12.35,2,8.92,48.63,3,8.96,48.79
2,9.02,57.63,4,15.16,1:27.51,1,8.69,57.32,3,8.96,57.75
2,9.17,1:06.80,4,12.98,1:40.49,1,8.74,1:06.06,3,9.16,1:06.91
2,9.33,1:16.13,4,12.18,1:52.67,1,8.83,1:14.89,3,9.30,1:16.21
3,9.41,1:25.534,4,12.05,2:04.719,1,9.24,1:24.130,2,9.14,1:25.350
