de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Namasthee HARRIS-GAUTHIER POSITION,Namasthee HARRIS-GAUTHIER LAP TIME,Namasthee HARRIS-GAUTHIER ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
2,13.85,13.85,3,13.96,13.96,1,13.82,13.82,4,14.05,14.05
2,10.53,24.38,4,10.59,24.55,1,10.48,24.30,3,10.43,24.48
4,10.43,34.81,1,10.01,34.56,3,10.46,34.76,2,10.21,34.69
2,10.15,44.96,1,10.32,44.88,4,10.34,45.10,3,10.28,44.97
2,10.17,55.13,1,10.22,55.10,3,10.18,55.28,4,10.41,55.38
1,9.82,1:04.95,2,9.97,1:05.07,3,9.93,1:05.21,4,9.98,1:05.36
1,9.72,1:14.67,2,9.67,1:14.74,3,9.69,1:14.90,4,9.65,1:15.01
2,9.92,1:24.59,1,9.79,1:24.53,3,9.81,1:24.71,4,9.72,1:24.73
3,10.25,1:34.84,1,10.08,1:34.61,2,10.08,1:34.79,4,27.23,1:51.96
