Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,Bojan BAKA POSITION,Bojan BAKA LAP TIME,Bojan BAKA ELAPSED TIME,Jan POSAVEC POSITION,Jan POSAVEC LAP TIME,Jan POSAVEC ELAPSED TIME
4,14.89,14.89,5,15.06,15.06,2,14.53,14.53,3,14.76,14.76,1,14.39,14.39
3,10.69,25.58,4,10.69,25.75,2,10.94,25.47,5,11.14,25.90,1,10.96,25.35
3,10.96,36.54,4,10.91,36.66,2,10.98,36.45,5,11.01,36.91,1,10.99,36.34
4,11.01,47.55,3,10.86,47.52,2,10.95,47.40,5,10.90,47.81,1,11.03,47.37
2,10.50,58.05,3,10.63,58.15,1,10.53,57.93,5,10.86,58.67,4,11.06,58.43
1,9.75,1:07.80,3,9.95,1:08.10,2,9.98,1:07.91,5,10.84,1:09.51,4,10.49,1:08.92
1,9.46,1:17.26,3,9.30,1:17.40,2,9.36,1:17.27,5,11.18,1:20.69,4,10.72,1:19.64
1,9.35,1:26.61,3,9.37,1:26.77,2,9.41,1:26.68,5,11.52,1:32.21,4,11.03,1:30.67
5,19.10,1:45.71,2,9.81,1:36.58,1,9.70,1:36.38,4,11.87,1:44.08,3,11.72,1:42.39
