OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,13.11,13.11,3,13.23,13.23,4,13.29,13.29,1,12.96,12.96,5,13.32,13.32
2,9.88,22.99,4,9.95,23.18,5,10.04,23.33,1,9.93,22.89,3,9.78,23.10
2,9.57,32.56,1,9.29,32.47,5,9.55,32.88,3,9.80,32.69,4,9.69,32.79
2,9.43,41.99,1,9.44,41.91,5,9.34,42.22,3,9.38,42.07,4,9.35,42.14
3,9.82,51.81,1,9.71,51.62,5,9.77,51.99,2,9.67,51.74,3,9.67,51.81
4,9.66,1:01.47,2,9.69,1:01.31,5,9.62,1:01.61,1,9.40,1:01.14,3,9.59,1:01.40
4,9.35,1:10.82,3,9.31,1:10.62,5,9.56,1:11.17,1,9.24,1:10.38,2,9.15,1:10.55
4,9.16,1:19.98,3,9.22,1:19.84,5,9.86,1:21.03,1,9.16,1:19.54,2,9.09,1:19.64
4,9.37,1:29.35,3,9.36,1:29.20,5,10.16,1:31.19,1,9.32,1:28.86,2,9.31,1:28.95
