CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,KIM Ye Jin POSITION,KIM Ye Jin LAP TIME,KIM Ye Jin ELAPSED TIME
1,12.96,12.96,4,13.15,13.15,2,13.06,13.06,5,13.25,13.25,3,13.14,13.14
1,10.02,22.98,5,10.26,23.41,2,10.02,23.08,4,10.06,23.31,3,10.05,23.19
1,9.93,32.91,5,9.89,33.30,2,9.91,32.99,4,9.91,33.22,3,9.91,33.10
1,9.84,42.75,5,9.85,43.15,2,9.85,42.84,4,9.81,43.03,3,9.84,42.94
1,9.71,52.46,5,9.78,52.93,2,9.72,52.56,3,9.63,52.66,4,9.83,52.77
1,9.56,1:02.02,4,9.39,1:02.32,2,9.49,1:02.05,3,9.50,1:02.16,5,9.66,1:02.43
2,9.27,1:11.29,4,9.22,1:11.54,1,9.07,1:11.12,3,9.26,1:11.42,5,9.26,1:11.69
2,9.47,1:20.76,3,9.26,1:20.80,1,9.24,1:20.36,3,9.38,1:20.80,5,9.31,1:21.00
3,9.72,1:30.48,2,9.19,1:29.99,1,9.51,1:29.87,4,9.79,1:30.59,5,9.98,1:30.98
