Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
3,13.510,13.510,2,13.250,13.250,1,7.710,7.710,4,13.800,13.800
2,9.770,23.280,1,9.940,23.200,3,15.580,23.290,4,9.510,23.320
1,9.500,32.790,3,9.800,33.000,4,9.760,33.060,2,9.640,32.970
1,9.570,42.360,2,9.500,42.500,3,9.570,42.630,4,9.990,42.960
1,9.680,52.050,3,9.760,52.270,2,9.580,52.210,4,9.490,52.450
1,9.640,1:01.690,2,9.460,1:01.730,3,9.560,1:01.780,4,9.650,1:02.100
1,9.440,1:11.140,2,9.520,1:11.250,3,9.480,1:11.270,4,9.390,1:11.500
1,9.540,1:20.680,3,9.610,1:20.870,2,9.520,1:20.790,4,9.550,1:21.050
2,9.870,1:30.560,3,9.810,1:30.680,1,9.500,1:30.300,4,10.800,1:31.850
