AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Samuel BELANGER-MARCEAU POSITION,Samuel BELANGER-MARCEAU LAP TIME,Samuel BELANGER-MARCEAU ELAPSED TIME
2,7.18,7.18,4,7.25,7.25,5,7.53,7.53,1,7.11,7.11,3,7.24,7.24
2,9.11,16.29,4,9.24,16.49,5,9.06,16.59,1,9.09,16.20,3,9.13,16.37
1,8.65,24.94,3,8.70,25.19,5,8.71,25.30,4,9.08,25.28,2,8.70,25.07
2,8.76,33.70,3,8.67,33.86,4,8.66,33.96,5,9.34,34.62,1,8.60,33.67
1,8.86,42.552,2,8.75,42.610,3,8.85,42.803,4,9.27,43.887,0,,PEN
