Jakov DOLINIC POSITION,Jakov DOLINIC LAP TIME,Jakov DOLINIC ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,13.11,13.11,2,13.29,13.29,3,13.59,13.59,5,13.74,13.74,4,13.72,13.72
3,10.75,23.86,1,10.40,23.70,4,10.36,23.95,2,10.09,23.84,5,10.50,24.22
1,9.77,33.64,3,10.29,34.00,5,10.29,34.24,4,10.24,34.08,2,9.77,33.99
4,10.04,43.69,3,9.59,43.59,5,9.55,43.80,2,9.50,43.59,1,9.38,43.38
5,9.92,53.61,1,9.72,53.32,4,9.76,53.56,3,9.82,53.41,2,10.01,53.39
4,9.64,1:03.26,2,9.55,1:02.87,5,9.74,1:03.30,1,9.41,1:02.82,3,9.84,1:03.23
4,10.07,1:13.33,2,9.61,1:12.49,5,10.15,1:13.46,1,9.54,1:12.36,3,9.58,1:12.82
4,10.24,1:23.58,2,9.45,1:21.94,5,10.32,1:23.78,1,9.46,1:21.83,3,9.51,1:22.34
3,10.93,1:34.505,0,,DQ,4,10.83,1:34.607,1,9.59,1:31.414,2,9.92,1:32.258
