Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
2,13.27,13.27,3,13.48,13.48,1,13.13,13.13
2,10.23,23.50,3,10.11,23.59,1,10.27,23.40
2,10.37,33.87,3,10.48,34.07,1,10.36,33.76
2,9.96,43.83,3,10.06,44.13,1,9.95,43.71
2,9.49,53.32,3,9.28,53.41,1,9.50,53.21
3,9.44,1:02.76,2,9.31,1:02.72,1,9.43,1:02.64
3,9.49,1:12.25,1,9.28,1:12.00,2,9.45,1:12.09
3,9.77,1:22.02,1,9.80,1:21.80,2,9.85,1:21.94
3,9.77,1:31.781,1,9.89,1:31.685,2,9.84,1:31.778
