Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME
2,7.11,7.11,3,7.12,7.12,4,7.25,7.25,1,6.71,6.71,5,7.40,7.40
5,9.67,16.78,4,9.38,16.50,2,9.14,16.39,1,8.92,15.63,3,9.06,16.46
5,8.73,25.51,4,8.65,25.15,2,8.41,24.80,1,8.51,24.14,3,8.64,25.10
5,8.71,34.22,4,8.89,34.04,2,8.41,33.21,1,8.59,32.73,3,8.78,33.88
5,8.82,43.039,4,8.87,42.904,2,8.86,42.063,1,8.75,41.476,3,9.02,42.899
