Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Emily ROSEMOND POSITION,Emily ROSEMOND LAP TIME,Emily ROSEMOND ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Melissa SNYMAN POSITION,Melissa SNYMAN LAP TIME,Melissa SNYMAN ELAPSED TIME
1,13.609,13.609,2,13.677,13.677,3,13.769,13.769,4,14.012,14.012,5,14.419,14.419
1,9.684,23.292,3,9.921,23.597,4,9.902,23.671,2,9.576,23.587,5,10.885,25.304
1,10.249,33.540,3,10.309,33.906,4,10.302,33.972,2,10.297,33.884,5,11.014,36.318
1,10.838,44.378,4,10.857,44.762,2,10.780,44.752,3,10.870,44.753,5,11.567,47.884
1,10.600,54.977,3,10.536,55.298,4,10.625,55.377,2,10.370,55.123,5,11.763,59.647
1,9.924,1:04.901,3,9.864,1:05.162,4,9.943,1:05.319,2,10.027,1:05.149,5,11.925,1:11.571
2,10.098,1:14.999,1,9.657,1:14.818,4,10.113,1:15.432,3,9.943,1:15.091,5,12.926,1:24.496
2,10.022,1:25.020,1,10.027,1:24.845,4,10.414,1:25.845,3,10.033,1:25.124,5,13.203,1:37.699
3,10.37,1:35.390,1,10.18,1:35.023,4,10.70,1:36.536,2,10.14,1:35.260,5,13.27,1:50.962
