LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,EARLE Marissa POSITION,EARLE Marissa LAP TIME,EARLE Marissa ELAPSED TIME
3,7.638,7.638,2,7.328,7.328,1,7.265,7.265,4,7.733,7.733
3,9.519,17.157,2,9.685,17.013,1,9.572,16.836,4,9.796,17.528
4,1:07.948,1:25.105,1,9.596,26.609,3,15.023,31.859,2,9.632,27.160
4,38.768,2:03.873,1,9.387,35.997,3,13.870,45.728,2,10.377,37.536
4,28.491,2:32.365,1,10.181,46.178,3,12.081,57.810,2,11.391,48.927
