LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Alex BOISVERT-LACROIX POSITION,Alex BOISVERT-LACROIX LAP TIME,Alex BOISVERT-LACROIX ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
2,10.510,10.510,5,10.930,10.930,1,10.060,10.060,6,11.380,11.380,3,10.730,10.730,4,10.890,10.890
2,13.440,23.950,4,13.560,24.490,5,14.600,24.660,6,13.620,25.010,1,13.210,23.950,3,13.370,24.270
3,12.950,36.910,6,12.810,37.310,4,12.410,37.080,2,11.830,36.840,1,12.520,36.480,5,12.890,37.170
2,12.760,49.680,3,12.640,49.950,6,13.090,50.170,5,13.120,49.960,1,12.880,49.360,4,12.790,49.960
1,12.360,1:02.040,3,12.690,1:02.640,5,13.120,1:03.300,6,13.500,1:03.470,2,13.170,1:02.530,4,13.230,1:03.190
1,9.890,1:11.930,2,10.500,1:13.150,4,10.300,1:13.600,6,10.280,1:13.750,3,10.760,1:13.290,5,10.550,1:13.740
1,11.400,1:23.330,2,10.640,1:23.800,3,10.370,1:23.980,5,10.410,1:24.160,4,10.780,1:24.080,6,10.660,1:24.410
1,10.210,1:33.550,5,10.140,1:33.940,6,9.970,1:33.950,2,9.390,1:33.560,3,9.730,1:33.810,3,9.400,1:33.810
1,9.470,1:43.020,3,9.530,1:43.480,2,9.530,1:43.480,6,10.270,1:43.830,3,9.660,1:43.480,5,9.680,1:43.490
1,9.360,1:52.390,2,9.260,1:52.740,5,9.920,1:53.410,6,9.750,1:53.590,3,9.520,1:53.010,4,9.530,1:53.020
1,9.310,2:01.710,2,9.810,2:02.560,5,9.660,2:03.070,6,9.730,2:03.320,3,9.770,2:02.780,4,9.760,2:02.790
1,9.210,2:10.920,2,9.050,2:11.610,3,8.820,2:11.900,4,8.750,2:12.080,5,9.320,2:12.110,6,9.780,2:12.570
1,9.600,2:20.520,3,9.380,2:21.000,2,8.650,2:20.550,5,10.550,2:22.630,4,10.110,2:22.220,6,11.240,2:23.820
1,9.370,2:29.890,2,9.540,2:30.540,5,11.950,2:32.500,3,8.460,2:31.100,4,10.200,2:32.420,6,13.370,2:37.200
