KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
3,13.18,13.18,1,13.02,13.02,2,13.12,13.12,4,13.44,13.44
2,10.02,23.20,1,10.04,23.06,4,10.24,23.36,3,9.89,23.33
3,9.69,32.89,1,9.62,32.68,4,9.69,33.05,2,9.46,32.79
3,9.63,42.52,1,9.62,42.30,4,9.58,42.63,2,9.64,42.43
4,10.15,52.67,1,9.68,51.98,3,10.01,52.64,2,9.67,52.10
3,9.49,1:02.16,1,9.52,1:01.50,4,10.20,1:02.84,2,9.52,1:01.62
3,9.25,1:11.41,1,9.53,1:11.03,4,9.97,1:12.81,2,9.52,1:11.14
3,9.36,1:20.77,2,9.64,1:20.67,4,10.22,1:23.03,1,9.42,1:20.56
0,,PEN,2,9.52,1:30.188,3,10.82,1:33.844,1,9.56,1:30.115
