Ivan DOLINIC POSITION,Ivan DOLINIC LAP TIME,Ivan DOLINIC ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
2,7.454,7.454,1,7.140,7.140,3,7.459,7.459
3,9.989,17.443,1,9.627,16.767,2,9.512,16.971
3,9.402,26.845,1,9.137,25.904,2,9.107,26.077
3,9.749,36.593,1,9.197,35.100,2,9.140,35.217
3,10.13,46.719,1,9.43,44.526,2,9.44,44.657
