Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
2,8.06,8.06,3,8.28,8.28,5,8.37,8.37,1,7.97,7.97,4,8.35,8.35
2,12.02,20.08,3,11.82,20.11,5,11.87,20.24,1,11.75,19.73,4,11.87,20.22
4,10.16,30.25,2,9.99,30.10,3,9.86,30.11,1,10.29,30.02,5,10.22,30.45
1,10.16,40.41,4,10.55,40.66,3,10.38,40.49,2,10.45,40.47,5,10.31,40.76
2,9.84,50.25,4,9.92,50.58,3,9.87,50.37,1,9.73,50.20,5,9.86,50.63
3,10.24,1:00.50,2,9.86,1:00.45,4,10.25,1:00.62,1,10.23,1:00.44,5,10.13,1:00.77
2,10.26,1:10.77,5,10.58,1:11.03,3,10.27,1:10.90,1,10.27,1:10.71,4,10.26,1:11.03
2,9.50,1:20.27,3,9.63,1:20.66,5,10.88,1:21.78,1,9.54,1:20.26,4,9.73,1:20.77
2,9.51,1:29.78,3,9.67,1:30.33,5,10.46,1:32.24,1,9.43,1:29.70,4,9.63,1:30.40
2,9.72,1:39.51,3,9.43,1:39.76,5,10.90,1:43.15,1,9.78,1:39.48,4,9.43,1:39.83
2,9.43,1:48.94,4,9.64,1:49.40,5,11.41,1:54.56,1,9.37,1:48.85,3,9.56,1:49.39
2,9.39,1:58.34,4,9.73,1:59.13,5,11.84,2:06.41,1,9.45,1:58.31,3,9.61,1:59.00
1,9.57,2:07.91,4,10.70,2:09.84,5,12.60,2:19.02,2,9.65,2:07.97,3,9.97,2:08.98
1,9.75,2:17.658,4,10.89,2:20.721,0,,DQ,2,9.95,2:17.912,3,10.17,2:19.142
