HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Tineke den DULK POSITION,Tineke den DULK LAP TIME,Tineke den DULK ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME
2,14.19,14.19,3,14.31,14.31,1,13.85,13.85,4,14.46,14.46
3,9.90,24.09,2,9.77,24.08,1,10.11,23.96,4,9.83,24.29
3,10.08,34.17,2,9.99,34.07,1,9.98,33.94,4,9.98,34.27
2,9.81,43.98,3,10.05,44.12,1,9.99,43.93,4,9.96,44.23
1,9.61,53.59,3,9.68,53.80,2,9.76,53.69,4,9.71,53.94
1,9.79,1:03.38,3,9.71,1:03.51,2,9.78,1:03.47,4,9.71,1:03.65
2,9.72,1:13.10,1,9.37,1:12.88,3,9.72,1:13.19,4,9.77,1:13.42
2,9.63,1:22.73,1,9.63,1:22.51,3,9.67,1:22.86,4,9.83,1:23.25
2,9.91,1:32.64,1,9.95,1:32.46,3,9.85,1:32.71,4,10.01,1:33.26
