CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME
2,12.26,12.26,4,12.54,12.54,1,12.04,12.04,3,12.38,12.38
2,9.50,21.76,4,9.54,22.09,1,9.62,21.67,3,9.50,21.89
2,9.54,31.30,4,9.51,31.60,1,9.62,31.29,3,9.56,31.45
1,9.42,40.72,4,9.36,40.96,2,9.43,40.73,3,9.41,40.87
2,9.57,50.30,4,9.64,50.61,1,9.48,50.21,3,9.56,50.43
1,9.32,59.62,4,9.30,59.91,2,9.41,59.63,3,9.44,59.87
2,9.23,1:08.85,3,9.27,1:09.18,1,9.20,1:08.84,4,9.48,1:09.36
2,9.12,1:17.98,3,8.98,1:18.17,1,9.09,1:17.93,4,9.56,1:18.93
1,9.30,1:27.277,2,9.21,1:27.374,0,,DQ,0,,DQ
