Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME
1,8.280,8.280,2,8.660,8.660,5,8.990,8.990,3,8.760,8.760,4,8.910,8.910
1,11.600,19.880,2,11.460,20.130,5,11.590,20.580,3,11.400,20.160,4,11.390,20.300
1,10.680,30.560,3,10.820,30.950,5,10.640,31.230,2,10.770,30.930,4,10.780,31.090
1,10.370,40.940,4,10.920,41.880,2,10.460,41.690,3,10.890,41.830,5,10.840,41.930
1,10.680,51.620,2,10.340,52.220,5,10.920,52.620,3,10.410,52.240,4,10.470,52.410
1,10.260,1:01.890,3,10.880,1:03.110,5,10.720,1:03.340,2,9.980,1:02.220,4,10.790,1:03.200
1,10.560,1:12.460,3,10.650,1:13.770,5,10.680,1:14.030,2,10.370,1:12.600,4,10.590,1:13.790
5,12.360,1:24.830,2,10.860,1:24.630,4,10.790,1:24.830,1,11.480,1:24.090,3,10.960,1:24.760
1,8.790,1:33.620,3,11.380,1:36.010,4,11.430,1:36.260,2,11.840,1:35.940,5,13.470,1:38.230
1,10.500,1:44.130,3,11.450,1:47.470,5,11.330,1:47.600,2,11.500,1:47.440,4,9.300,1:47.540
1,10.880,1:55.010,2,11.340,1:58.810,4,11.480,1:59.080,5,11.700,1:59.150,3,11.430,1:58.980
1,10.990,2:06.010,2,11.410,2:10.230,4,11.400,2:10.490,5,11.430,2:10.580,3,11.360,2:10.350
1,11.070,2:17.090,5,11.740,2:21.970,2,10.920,2:21.410,3,10.860,2:21.440,4,11.510,2:21.860
1,11.910,2:29.000,5,11.690,2:33.670,2,11.020,2:32.430,3,11.600,2:33.040,4,11.640,2:33.510
