KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Peter RICHES POSITION,Peter RICHES LAP TIME,Peter RICHES ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME,WADA Takumi POSITION,WADA Takumi LAP TIME,WADA Takumi ELAPSED TIME
3,13.71,13.71,1,13.50,13.50,2,13.60,13.60,4,13.84,13.84,5,13.95,13.95
4,10.25,23.96,1,10.15,23.65,2,10.16,23.76,3,10.03,23.87,5,10.12,24.07
5,10.01,33.97,1,9.91,33.56,2,9.92,33.68,3,9.93,33.80,4,9.83,33.90
4,9.31,43.28,1,9.42,42.98,2,9.32,43.00,3,9.29,43.09,4,9.38,43.28
2,8.73,52.01,5,9.18,52.16,1,8.95,51.95,3,8.97,52.06,4,8.81,52.09
3,8.88,1:00.89,5,8.94,1:01.10,2,8.83,1:00.78,1,8.58,1:00.64,4,8.89,1:00.98
3,8.67,1:09.56,5,8.84,1:09.94,2,8.67,1:09.45,1,8.75,1:09.39,4,8.74,1:09.72
3,8.71,1:18.27,5,8.82,1:18.76,2,8.72,1:18.17,1,8.70,1:18.09,4,8.74,1:18.46
3,8.74,1:27.01,5,8.91,1:27.678,2,8.78,1:26.95,1,8.78,1:26.87,4,8.90,1:27.361
