Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
1,6.670,6.670,2,6.830,6.830,4,7.150,7.150,3,6.870,6.870
1,9.060,15.730,3,9.200,16.030,4,9.390,16.550,2,9.020,15.900
2,8.900,24.640,3,9.050,25.090,4,9.200,25.760,1,8.700,24.600
2,9.240,33.890,3,9.430,34.520,4,9.710,35.470,1,8.890,33.500
2,9.330,43.220,3,9.830,44.360,4,10.230,45.710,1,9.360,42.860
