MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Joanie GERVAIS POSITION,Joanie GERVAIS LAP TIME,Joanie GERVAIS ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
4,14.56,14.56,2,14.34,14.34,3,14.45,14.45,1,14.21,14.21
4,12.18,26.74,2,12.17,26.51,3,12.18,26.63,1,12.12,26.33
3,12.29,39.03,2,12.45,38.96,4,12.42,39.05,1,12.46,38.79
4,11.35,50.38,1,11.14,50.10,3,11.23,50.28,2,11.40,50.19
4,10.30,1:00.68,1,10.31,1:00.41,3,10.31,1:00.59,2,10.31,1:00.50
4,9.79,1:10.47,1,9.75,1:10.16,3,9.79,1:10.38,2,9.76,1:10.26
4,9.33,1:19.80,1,9.27,1:19.43,3,9.28,1:19.66,2,9.30,1:19.56
4,9.23,1:29.03,1,9.05,1:28.48,2,9.05,1:28.71,3,9.33,1:28.89
4,9.33,1:38.359,1,9.29,1:37.762,2,9.21,1:37.920,3,9.40,1:38.288
