LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,13.35,13.35,4,13.82,13.82,2,13.55,13.55,3,13.68,13.68
1,10.36,23.71,4,10.26,24.08,2,10.30,23.85,3,10.28,23.96
1,10.06,33.77,4,10.00,34.08,2,10.01,33.86,3,9.98,33.94
2,9.68,43.45,4,9.66,43.74,1,9.51,43.37,3,9.58,43.52
2,9.31,52.76,4,9.27,53.01,1,9.38,52.75,3,9.39,52.91
1,9.28,1:02.04,2,9.29,1:02.30,4,9.71,1:02.46,3,9.52,1:02.43
1,9.17,1:11.21,2,9.51,1:11.81,3,9.52,1:11.98,4,9.88,1:12.31
1,9.31,1:20.52,3,9.52,1:21.33,2,9.16,1:21.14,4,9.98,1:22.29
1,9.77,1:30.289,3,9.88,1:31.208,2,9.34,1:30.477,0,,PEN
