DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
3,12.35,12.35,1,12.24,12.24,2,12.28,12.28,4,12.44,12.44,5,12.56,12.56
4,9.37,21.72,2,9.35,21.59,3,9.39,21.67,1,9.02,21.46,5,9.31,21.87
3,9.39,31.11,2,9.43,31.02,4,9.48,31.15,1,9.44,30.90,5,9.34,31.21
4,9.12,40.23,1,9.06,40.08,5,9.20,40.35,2,9.21,40.11,2,8.90,40.11
5,8.86,49.09,2,8.85,48.93,4,8.72,49.07,3,8.91,49.02,1,8.71,48.82
5,9.12,58.21,1,8.88,57.81,4,9.04,58.11,3,9.01,58.03,2,9.11,57.93
5,9.20,1:07.41,1,9.16,1:06.97,4,9.15,1:07.26,3,9.17,1:07.20,2,9.14,1:07.07
5,9.06,1:16.47,1,8.96,1:15.93,3,8.96,1:16.22,4,9.17,1:16.37,2,8.96,1:16.03
4,9.12,1:25.594,1,8.89,1:24.82,3,8.90,1:25.12,5,9.27,1:25.647,2,8.90,1:24.93
