Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
2,12.61,12.61,1,12.49,12.49,4,12.86,12.86,3,12.76,12.76
3,10.17,22.78,2,10.18,22.67,1,9.73,22.59,4,10.03,22.79
4,9.64,32.42,2,9.60,32.27,1,9.61,32.20,3,9.56,32.35
4,9.58,42.00,2,9.63,41.90,1,9.62,41.82,2,9.55,41.90
3,9.27,51.27,4,9.45,51.35,1,9.23,51.05,2,9.24,51.14
3,9.10,1:00.37,4,9.14,1:00.49,1,9.09,1:00.14,2,9.12,1:00.26
2,8.99,1:09.36,4,9.00,1:09.49,1,9.14,1:09.28,3,9.11,1:09.37
2,9.27,1:18.63,3,9.20,1:18.69,1,9.22,1:18.50,4,9.53,1:18.90
0,,PHOTO,0,,PHOTO,1,9.43,1:27.93,4,9.83,1:28.73
