Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
1,6.93,6.93,3,7.16,7.16,2,7.03,7.03,4,7.29,7.29
1,8.94,15.87,3,9.00,16.16,2,8.87,15.90,4,9.02,16.31
2,8.56,24.43,3,8.54,24.70,1,8.42,24.32,4,8.63,24.94
2,8.50,32.93,3,8.39,33.09,1,8.45,32.77,4,8.78,33.72
2,8.64,41.563,3,8.61,41.692,1,8.69,41.451,4,8.94,42.652
