Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME
5,9.08,9.08,3,8.92,8.92,4,9.00,9.00,2,8.76,8.76,1,8.73,8.73
4,11.38,20.46,3,11.51,20.43,5,11.56,20.56,1,11.42,20.18,2,11.59,20.32
1,9.67,30.13,4,10.02,30.45,5,10.01,30.57,2,10.08,30.26,3,10.03,30.35
1,10.13,40.26,4,10.10,40.55,5,10.11,40.68,2,10.12,40.38,3,10.12,40.47
1,10.63,50.89,4,10.57,51.12,5,10.57,51.25,2,10.61,50.99,3,10.60,51.07
3,10.64,1:01.53,2,10.39,1:01.51,4,10.48,1:01.73,5,10.76,1:01.75,1,10.21,1:01.28
4,9.79,1:11.32,2,9.67,1:11.18,3,9.56,1:11.29,5,9.85,1:11.60,1,9.82,1:11.10
4,10.07,1:21.39,2,9.96,1:21.14,3,9.96,1:21.25,5,10.03,1:21.63,1,9.96,1:21.06
4,10.02,1:31.41,2,10.08,1:31.22,3,10.07,1:31.32,5,10.03,1:31.66,1,10.08,1:31.14
4,10.17,1:41.58,2,10.09,1:41.31,3,10.09,1:41.41,5,10.19,1:41.85,1,10.09,1:41.23
4,10.17,1:51.75,2,9.84,1:51.15,3,9.89,1:51.30,5,10.36,1:52.21,1,9.83,1:51.06
4,10.28,2:02.03,2,9.71,2:00.86,3,9.68,2:00.98,5,10.70,2:02.91,1,9.72,2:00.78
4,10.54,2:12.57,2,9.91,2:10.77,3,9.82,2:10.80,5,11.42,2:14.33,1,9.91,2:10.69
4,10.81,2:23.376,2,10.08,2:20.846,3,10.21,2:21.003,5,11.86,2:26.190,1,9.90,2:20.585
