TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
3,15.86,15.86,4,15.92,15.92,2,15.76,15.76,1,15.66,15.66,5,15.95,15.95
2,11.84,27.70,5,12.14,28.06,1,11.85,27.61,3,12.12,27.78,4,12.02,27.97
3,11.27,38.97,5,11.21,39.27,1,11.26,38.87,2,11.11,38.89,4,11.21,39.18
3,10.59,49.56,5,10.53,49.80,2,10.61,49.48,1,10.48,49.37,4,10.52,49.70
3,9.87,59.43,5,9.91,59.71,2,9.87,59.35,1,9.89,59.26,4,9.93,59.63
3,9.44,1:08.87,5,9.47,1:09.18,2,9.36,1:08.71,1,9.32,1:08.58,4,9.36,1:08.99
3,8.68,1:17.55,5,8.92,1:18.10,2,8.77,1:17.48,1,8.77,1:17.35,4,8.71,1:17.70
3,8.63,1:26.18,5,9.05,1:27.15,2,8.60,1:26.08,1,8.64,1:25.99,4,8.61,1:26.31
3,8.70,1:34.88,5,9.20,1:36.35,2,8.76,1:34.84,1,8.67,1:34.66,4,8.65,1:34.96
