DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
1,6.76,6.76,2,6.92,6.92,3,7.10,7.10,4,7.21,7.21
1,8.92,15.68,2,8.91,15.83,3,8.92,16.02,4,8.89,16.10
1,8.50,24.18,2,8.43,24.26,3,8.45,24.47,4,8.45,24.55
1,8.68,32.86,2,8.66,32.92,4,8.66,33.13,3,8.48,33.03
0,,PHOTO,0,,PHOTO,4,8.95,42.08,0,,PHOTO
