Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,CHO Nam-Kyu POSITION,CHO Nam-Kyu LAP TIME,CHO Nam-Kyu ELAPSED TIME,LEE Hyeon-Sung POSITION,LEE Hyeon-Sung LAP TIME,LEE Hyeon-Sung ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
0,17.663,17.663,0,16.828,16.828,0,17.309,17.309,0,18.508,18.508,0,18.528,18.528,0,18.590,18.590,0,19.505,19.505,0,18.812,18.812
0,13.168,30.831,0,10.143,26.971,0,10.193,27.502,0,12.358,30.866,0,11.777,30.306,0,11.948,30.538,0,11.563,31.067,0,11.854,30.666
0,10.757,41.589,0,9.178,36.149,0,9.100,36.602,0,10.617,41.483,0,10.928,41.234,0,10.750,41.288,0,10.780,41.847,0,10.894,41.559
0,10.211,51.800,0,9.299,45.447,0,9.067,45.669,0,10.165,51.647,0,10.297,51.531,0,10.046,51.334,0,10.170,52.017,0,10.111,51.670
0,9.947,1:01.747,0,9.669,55.116,0,9.452,55.121,0,10.012,1:01.660,0,9.895,1:01.425,0,10.154,1:01.488,0,9.807,1:01.824,0,10.034,1:01.703
0,9.853,1:11.600,0,9.869,1:04.985,0,9.674,1:04.795,0,9.793,1:11.453,0,10.023,1:11.448,0,9.871,1:11.360,0,9.874,1:11.698,0,9.887,1:11.591
0,10.270,1:21.870,0,9.974,1:14.960,0,10.022,1:14.817,0,10.340,1:21.792,0,10.088,1:21.536,0,10.224,1:21.584,0,10.261,1:21.959,0,10.114,1:21.704
0,10.291,1:32.161,0,10.202,1:25.161,0,10.261,1:25.078,0,10.574,1:32.367,0,10.307,1:31.842,0,10.256,1:31.840,0,10.269,1:32.228,0,10.273,1:31.978
0,10.615,1:42.777,0,10.672,1:35.833,0,10.840,1:35.918,0,10.713,1:43.079,0,10.746,1:42.588,0,10.640,1:42.480,0,10.570,1:42.798,0,10.711,1:42.689
0,10.975,1:53.752,0,11.055,1:46.888,0,10.905,1:46.823,0,10.306,1:53.385,0,10.650,1:53.238,0,10.902,1:53.382,0,10.894,1:53.692,0,10.806,1:53.495
0,10.710,2:04.461,0,11.087,1:57.975,0,10.921,1:57.743,0,11.072,2:04.458,0,10.930,2:04.168,0,10.648,2:04.030,0,11.387,2:05.079,0,10.921,2:04.416
0,11.076,2:15.538,0,10.948,2:08.923,0,11.052,2:08.795,0,10.701,2:15.159,0,10.920,2:15.088,0,11.057,2:15.087,0,10.182,2:15.261,0,10.710,2:15.126
0,10.782,2:26.320,0,11.286,2:20.209,0,11.239,2:20.034,0,11.155,2:26.314,0,11.088,2:26.176,0,10.981,2:26.068,0,11.058,2:26.318,0,11.200,2:26.325
0,11.021,2:37.341,0,11.096,2:31.305,0,11.115,2:31.149,0,10.812,2:37.126,0,10.951,2:37.127,0,11.011,2:37.079,0,11.158,2:37.476,0,10.961,2:37.286
0,11.350,2:48.690,0,11.432,2:42.737,0,11.501,2:42.650,0,10.934,2:48.060,0,10.932,2:48.059,0,11.057,2:48.136,0,10.995,2:48.471,0,10.983,2:48.270
0,10.477,2:59.168,0,11.534,2:54.271,0,11.507,2:54.157,0,10.894,2:58.954,0,10.946,2:59.005,0,10.677,2:58.813,0,10.619,2:59.090,0,10.814,2:59.084
0,11.185,3:10.353,0,11.679,3:05.950,0,11.732,3:05.889,0,11.095,3:10.048,0,10.897,3:09.902,0,11.103,3:09.915,0,11.000,3:10.089,0,10.736,3:09.820
0,10.750,3:21.103,0,11.604,3:17.554,0,11.728,3:17.617,0,10.920,3:20.968,0,10.881,3:20.782,0,10.891,3:20.807,0,10.774,3:20.864,0,11.077,3:20.896
0,10.812,3:31.915,0,11.319,3:28.873,0,11.879,3:29.496,0,10.467,3:31.436,0,10.779,3:31.561,0,10.657,3:31.464,0,10.881,3:31.744,0,10.797,3:31.693
0,10.665,3:42.580,0,11.188,3:40.061,0,12.220,3:41.715,0,10.921,3:42.357,0,10.685,3:42.246,0,10.748,3:42.211,0,10.909,3:42.653,0,10.677,3:42.370
0,10.910,3:53.490,0,11.662,3:51.723,0,12.802,3:54.517,0,10.695,3:53.052,0,10.876,3:53.122,0,11.101,3:53.312,0,10.562,3:53.215,0,10.823,3:53.193
0,10.654,4:04.143,0,11.793,4:03.516,0,13.179,4:07.696,0,10.622,4:03.674,0,10.479,4:03.601,0,10.825,4:04.137,0,12.823,4:06.038,0,10.317,4:03.510
0,11.326,4:15.470,0,12.146,4:15.662,0,13.972,4:21.668,0,9.812,4:13.486,0,9.850,4:13.451,0,8.953,4:13.091,0,7.532,4:13.570,0,9.961,4:13.470
0,10.422,4:25.891,0,12.760,4:28.422,0,15.970,4:37.637,0,9.652,4:23.138,0,9.838,4:23.289,0,10.185,4:23.276,0,9.860,4:23.430,0,9.881,4:23.351
0,11.018,4:36.909,0,12.762,4:41.184,0,14.253,4:51.890,0,9.886,4:33.023,0,9.993,4:33.281,0,10.053,4:33.329,0,10.133,4:33.563,0,10.029,4:33.380
0,11.820,4:48.728,0,13.871,4:55.055,0,31.000,5:22.890,0,9.955,4:42.978,0,9.869,4:43.151,0,9.678,4:43.007,0,9.689,4:43.252,0,9.774,4:43.154
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
