TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME
2,12.34,12.34,1,12.17,12.17,3,12.54,12.54,4,12.67,12.67
2,9.16,21.50,1,9.16,21.33,3,9.08,21.62,4,9.08,21.75
2,9.32,30.82,1,9.45,30.78,3,9.31,30.93,4,9.30,31.05
1,9.39,40.21,2,9.67,40.45,3,9.63,40.56,4,9.58,40.63
1,9.79,50.00,2,9.63,50.08,3,9.82,50.38,4,9.91,50.54
1,9.46,59.46,2,9.48,59.56,3,9.44,59.82,4,9.43,59.97
1,9.33,1:08.79,2,9.31,1:08.87,3,9.41,1:09.23,4,9.36,1:09.33
2,9.63,1:18.42,1,9.37,1:18.24,3,9.32,1:18.55,4,9.33,1:18.66
1,9.37,1:27.79,1,9.55,1:27.79,3,9.44,1:27.99,4,9.51,1:28.17
1,9.29,1:37.08,2,9.38,1:37.17,3,9.33,1:37.32,4,9.24,1:37.41
1,9.44,1:46.52,2,9.49,1:46.66,3,9.47,1:46.79,4,9.51,1:46.92
1,9.35,1:55.87,2,9.31,1:55.97,3,9.31,1:56.10,4,9.30,1:56.22
1,9.14,2:05.01,2,9.12,2:05.09,3,9.20,2:05.30,4,9.21,2:05.43
1,9.39,2:14.40,4,9.66,2:14.75,2,9.32,2:14.62,3,9.31,2:14.74
1,9.14,2:23.54,4,9.48,2:24.23,2,9.25,2:23.87,3,9.30,2:24.04
1,9.05,2:32.59,4,9.40,2:33.63,2,9.16,2:33.03,3,9.08,2:33.12
4,15.48,2:48.07,3,9.15,2:42.78,1,9.39,2:42.42,2,9.45,2:42.57
4,9.52,2:57.59,3,9.21,2:51.99,1,9.38,2:51.80,2,9.31,2:51.88
4,9.39,3:06.98,3,9.24,3:01.23,1,9.29,3:01.09,2,9.30,3:01.18
4,9.68,3:16.66,3,9.24,3:10.47,1,9.18,3:10.27,2,9.17,3:10.35
4,9.21,3:25.87,3,9.38,3:19.85,1,9.33,3:19.60,2,9.35,3:19.70
4,9.33,3:35.20,3,9.24,3:29.09,1,9.33,3:28.93,2,9.30,3:29.00
4,9.52,3:44.72,3,9.35,3:38.44,1,9.37,3:38.30,2,9.37,3:38.37
4,9.47,3:54.19,3,9.66,3:48.10,1,9.36,3:47.66,2,9.44,3:47.81
4,8.97,4:03.16,3,9.79,3:57.89,1,9.34,3:57.00,2,9.32,3:57.13
4,10.10,4:13.26,3,9.02,4:06.91,1,8.81,4:05.81,2,8.77,4:05.90
4,9.14,4:22.40,3,8.97,4:15.88,2,8.89,4:14.70,1,8.68,4:14.58
4,9.03,4:31.43,3,9.27,4:25.15,2,9.06,4:23.76,1,8.72,4:23.30
4,9.89,4:41.32,3,9.26,4:34.41,2,9.16,4:32.92,1,9.50,4:32.80
4,9.55,4:50.87,3,8.88,4:43.29,2,8.97,4:41.89,1,9.02,4:41.82
4,9.57,5:00.44,3,9.18,4:52.47,2,9.06,4:50.95,1,9.05,4:50.87
4,9.39,5:09.83,3,9.10,5:01.57,2,9.07,5:00.02,1,9.04,4:59.91
4,9.06,5:18.89,3,9.22,5:10.79,1,8.85,5:08.87,2,8.98,5:08.89
4,9.28,5:28.17,3,9.38,5:20.17,1,9.10,5:17.97,2,9.16,5:18.05
4,9.49,5:37.66,3,9.44,5:29.61,2,9.20,5:27.17,1,9.04,5:27.09
4,9.65,5:47.31,3,8.93,5:38.54,2,8.82,5:35.99,1,8.81,5:35.90
4,9.40,5:56.71,3,9.12,5:47.66,2,8.92,5:44.91,1,8.97,5:44.87
4,9.41,6:06.12,3,9.18,5:56.84,2,9.08,5:53.99,1,8.99,5:53.86
4,9.04,6:15.16,3,9.24,6:06.08,2,8.52,6:02.51,1,8.64,6:02.50
4,9.34,6:24.50,3,9.48,6:15.56,1,8.99,6:11.50,2,9.15,6:11.65
4,9.88,6:34.38,3,9.74,6:25.30,1,9.14,6:20.64,2,9.06,6:20.71
4,9.75,6:44.13,3,9.10,6:34.40,2,9.01,6:29.65,1,8.83,6:29.54
4,9.70,6:53.83,3,9.23,6:43.63,1,8.78,6:38.43,2,9.06,6:38.60
4,9.52,7:03.35,3,9.28,6:52.91,1,8.62,6:47.05,2,8.73,6:47.33
4,9.36,7:12.697,3,9.67,7:02.558,1,8.84,6:55.873,2,9.25,6:56.559
