MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME
2,13.73,13.73,1,13.54,13.54,3,13.90,13.90,4,14.12,14.12
2,10.22,23.95,1,10.32,23.86,3,10.17,24.07,4,10.06,24.18
2,10.31,34.26,1,10.30,34.16,3,10.28,34.35,4,10.27,34.45
2,10.38,44.64,1,10.40,44.56,3,10.39,44.74,4,10.43,44.88
2,10.33,54.97,1,10.31,54.87,4,10.73,55.47,3,10.21,55.09
2,10.07,1:05.04,1,10.13,1:05.00,4,9.94,1:05.41,3,10.05,1:05.14
1,9.75,1:14.79,3,10.20,1:15.20,4,9.81,1:15.22,2,9.83,1:14.97
1,9.73,1:24.52,4,10.51,1:25.71,3,9.69,1:24.91,2,9.84,1:24.81
1,9.93,1:34.448,3,11.09,1:36.792,2,10.00,1:34.903,0,,PEN
