Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
1,13.340,13.340,2,13.620,13.620,4,13.730,13.730,3,13.630,13.630
1,11.170,24.510,2,11.100,24.720,4,11.120,24.850,3,11.160,24.800
4,11.080,35.590,2,10.850,35.580,3,10.720,35.580,1,10.510,35.320
3,10.250,45.850,4,10.610,46.190,2,10.200,45.790,1,10.410,45.730
2,10.290,56.140,4,10.290,56.490,2,10.350,56.140,1,10.370,56.100
3,10.380,1:06.530,4,10.380,1:06.880,2,10.220,1:06.370,1,10.230,1:06.330
3,10.110,1:16.640,4,9.990,1:16.870,2,9.990,1:16.360,1,9.900,1:16.230
3,10.510,1:27.150,4,10.470,1:27.350,2,9.650,1:26.010,1,9.630,1:25.870
3,11.190,1:38.340,4,12.360,1:39.710,2,9.800,1:35.820,1,9.800,1:35.670
