Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
3,14.73,14.73,4,14.92,14.92,5,15.06,15.06,1,14.68,14.68,2,14.70,14.70
2,9.72,24.45,4,9.88,24.80,5,9.86,24.92,3,9.93,24.61,1,9.62,24.32
2,9.39,33.84,4,9.34,34.14,5,9.31,34.23,3,9.31,33.92,1,9.42,33.74
2,9.33,43.17,4,9.32,43.46,5,9.35,43.58,3,9.35,43.27,1,9.33,43.07
2,9.37,52.54,4,9.36,52.82,5,9.38,52.96,3,9.40,52.67,1,9.37,52.44
2,9.46,1:02.00,4,9.74,1:02.56,5,9.71,1:02.67,3,9.59,1:02.26,1,9.45,1:01.89
2,9.48,1:11.48,4,10.16,1:12.72,5,10.08,1:12.75,3,9.31,1:11.57,1,9.41,1:11.30
3,9.59,1:21.07,5,11.19,1:23.91,4,10.33,1:23.08,2,9.39,1:20.96,1,9.37,1:20.67
2,9.94,1:31.008,4,12.03,1:35.934,3,10.64,1:33.717,0,,PEN,1,9.76,1:30.427
