Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
1,7.16,7.16,2,7.25,7.25,3,7.31,7.31,4,7.56,7.56
2,9.25,16.41,3,9.26,16.51,1,9.00,16.31,4,9.02,16.58
2,9.05,25.46,3,8.97,25.48,1,9.05,25.36,4,9.04,25.62
2,8.95,34.41,3,9.05,34.53,1,8.96,34.32,4,9.01,34.63
2,9.15,43.558,3,9.15,43.678,1,9.12,43.437,4,9.06,43.690
