Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
2,6.89,6.89,1,6.74,6.74,3,6.98,6.98,4,7.11,7.11
2,8.90,15.79,1,8.97,15.71,3,8.89,15.87,4,8.83,15.94
2,8.62,24.41,1,8.62,24.33,4,8.63,24.50,3,8.53,24.47
2,8.69,33.10,1,8.70,33.03,3,8.65,33.15,4,8.76,33.23
3,9.57,42.666,1,8.82,41.846,2,8.78,41.927,0,,PEN
