Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
2,8.56,8.56,6,9.18,9.18,1,8.19,8.19,3,8.63,8.63,4,8.86,8.86,5,9.01,9.01
4,11.06,19.63,6,10.78,19.96,1,11.04,19.24,2,10.91,19.54,3,10.75,19.62,5,10.79,19.80
2,10.66,30.29,6,10.81,30.78,1,10.62,29.86,4,10.81,30.35,3,10.70,30.32,5,10.76,30.56
2,10.67,40.97,6,10.62,41.40,1,10.95,40.82,3,10.70,41.06,4,10.78,41.11,5,10.80,41.37
2,10.54,51.51,6,10.69,52.09,1,10.50,51.32,3,10.61,51.67,4,10.59,51.70,5,10.40,51.77
3,10.65,1:02.16,6,10.42,1:02.51,1,10.51,1:01.83,2,10.45,1:02.12,4,10.53,1:02.23,5,10.57,1:02.34
2,10.46,1:12.62,6,10.49,1:13.01,1,10.64,1:12.47,4,10.68,1:12.81,3,10.42,1:12.65,5,10.58,1:12.92
2,9.91,1:22.53,3,9.56,1:22.57,1,10.04,1:22.52,6,10.42,1:23.24,4,10.03,1:22.69,5,9.82,1:22.74
3,9.99,1:32.52,2,9.74,1:32.32,5,10.21,1:32.73,6,10.80,1:34.04,4,9.94,1:32.63,1,9.50,1:32.25
3,9.65,1:42.18,1,9.70,1:42.03,4,9.53,1:42.26,6,11.10,1:45.14,5,10.05,1:42.69,2,9.80,1:42.05
3,9.93,1:52.11,1,9.85,1:51.88,4,9.94,1:52.20,6,11.54,1:56.69,5,10.18,1:52.87,2,9.86,1:51.91
3,9.77,2:01.89,1,9.83,2:01.72,4,9.88,2:02.09,6,12.04,2:08.74,5,10.69,2:03.57,2,9.91,2:01.83
3,10.12,2:12.02,1,9.94,2:11.67,4,10.46,2:12.55,6,12.20,2:20.94,5,11.15,2:14.73,2,9.88,2:11.71
3,10.28,2:22.293,1,10.08,2:21.746,4,11.25,2:23.793,6,12.70,2:33.638,5,11.44,2:26.164,2,10.17,2:21.878
