LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,JURKIEWICZ Przemyslaw POSITION,JURKIEWICZ Przemyslaw LAP TIME,JURKIEWICZ Przemyslaw ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME
2,6.916,6.916,1,6.800,6.800,4,7.003,7.003,3,6.931,6.931
2,8.951,15.867,1,9.044,15.844,4,9.355,16.357,3,9.399,16.329
2,8.926,24.793,1,8.948,24.791,4,9.377,25.734,3,9.241,25.570
1,9.048,33.840,2,9.126,33.917,4,9.339,35.072,3,9.263,34.833
1,9.44,43.276,2,9.58,43.492,4,9.72,44.789,3,9.86,44.687
