KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,JUNG Yanghun Ben POSITION,JUNG Yanghun Ben LAP TIME,JUNG Yanghun Ben ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME
1,6.95,6.95,3,7.05,7.05,4,7.27,7.27,5,7.34,7.34,2,7.00,7.00
4,9.43,16.38,2,9.06,16.11,4,9.11,16.38,3,8.83,16.17,1,8.84,15.84
5,8.89,25.27,3,8.68,24.79,4,8.59,24.97,2,8.50,24.67,1,8.43,24.27
5,8.70,33.97,3,8.56,33.35,4,8.53,33.50,2,8.43,33.10,1,8.51,32.78
5,8.84,42.813,3,8.71,42.060,4,8.62,42.120,2,8.59,41.698,1,8.60,41.38
