TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
7,10.10,10.10,4,9.70,9.70,5,9.82,9.82,6,9.98,9.98,3,9.51,9.51,2,9.47,9.47,1,9.30,9.30
7,12.36,22.46,5,12.53,22.23,4,12.29,22.11,6,12.40,22.38,3,12.51,22.02,2,12.45,21.92,1,12.53,21.83
7,11.59,34.05,3,11.48,33.71,5,11.70,33.81,4,11.41,33.79,6,11.81,33.83,2,11.68,33.60,1,11.72,33.55
7,10.95,45.00,3,10.88,44.59,5,10.92,44.73,2,10.69,44.48,6,11.06,44.89,3,10.99,44.59,1,10.90,44.45
7,10.08,55.08,1,9.74,54.33,5,10.14,54.87,4,10.27,54.75,6,10.10,54.99,3,9.97,54.56,2,10.00,54.45
7,9.96,1:05.04,1,10.12,1:04.45,5,9.88,1:04.75,4,9.86,1:04.61,6,9.95,1:04.94,2,9.98,1:04.54,3,10.10,1:04.55
7,9.64,1:14.68,2,9.65,1:14.10,5,9.72,1:14.47,1,9.38,1:13.99,6,9.64,1:14.58,3,9.65,1:14.19,4,9.74,1:14.29
7,9.27,1:23.95,3,9.45,1:23.55,5,9.27,1:23.74,2,9.46,1:23.45,6,9.25,1:23.83,1,9.15,1:23.34,4,9.36,1:23.65
7,9.36,1:33.31,3,9.35,1:32.90,6,9.46,1:33.20,2,9.34,1:32.79,5,9.30,1:33.13,1,9.41,1:32.75,4,9.36,1:33.01
7,9.04,1:42.35,3,9.06,1:41.96,6,9.11,1:42.31,1,8.97,1:41.76,5,9.02,1:42.15,2,9.13,1:41.88,4,9.03,1:42.04
6,8.91,1:51.26,3,8.97,1:50.93,7,9.08,1:51.39,1,9.01,1:50.77,5,8.98,1:51.13,2,9.01,1:50.89,4,8.99,1:51.03
6,8.89,2:00.15,2,8.86,1:59.79,7,8.94,2:00.33,1,8.85,1:59.62,5,8.90,2:00.03,4,9.04,1:59.93,3,8.87,1:59.90
6,9.34,2:09.49,2,8.88,2:08.67,7,9.26,2:09.59,1,8.90,2:08.52,4,8.75,2:08.78,5,9.16,2:09.09,2,8.77,2:08.67
7,12.54,2:22.03,4,9.23,2:17.90,6,10.25,2:19.84,2,9.14,2:17.66,3,8.91,2:17.69,5,9.53,2:18.62,1,8.88,2:17.55
