Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,12.55,12.55,4,12.76,12.76,2,12.65,12.65,6,12.86,12.86,5,12.84,12.84,3,12.67,12.67
3,9.54,22.09,5,9.52,22.28,4,9.52,22.17,2,9.16,22.02,6,9.52,22.36,1,9.31,21.98
3,9.20,31.29,5,9.18,31.46,4,9.21,31.38,1,9.10,31.12,6,9.21,31.57,2,9.20,31.18
3,9.64,40.93,4,9.53,40.99,6,9.69,41.07,1,9.61,40.73,5,9.48,41.05,2,9.65,40.83
3,9.41,50.34,4,9.50,50.49,6,9.67,50.74,2,9.59,50.32,5,9.53,50.58,1,9.42,50.25
4,9.59,59.93,3,9.28,59.77,6,9.32,1:00.06,2,9.33,59.65,5,9.42,1:00.00,1,9.27,59.52
4,9.16,1:09.09,3,9.10,1:08.87,6,9.49,1:09.55,2,9.10,1:08.75,5,9.32,1:09.32,1,9.13,1:08.65
4,8.98,1:18.07,3,9.05,1:17.92,6,9.46,1:19.01,2,9.09,1:17.84,5,9.10,1:18.42,1,9.09,1:17.74
2,9.25,1:27.317,0,,PEN,4,10.01,1:29.019,0,,PEN,3,9.64,1:28.055,1,9.35,1:27.082
