Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME
1,7.02,7.02,2,7.13,7.13,3,7.43,7.43,4,7.57,7.57,5,7.69,7.69
1,9.24,16.26,2,9.30,16.43,3,9.18,16.61,4,9.28,16.85,5,9.16,16.85
2,8.90,25.16,3,8.97,25.40,1,8.52,25.13,5,8.94,25.79,4,8.66,25.51
2,9.00,34.16,4,9.04,34.44,1,8.71,33.84,5,9.06,34.85,3,8.72,34.23
3,9.08,43.235,4,9.11,43.548,1,8.86,42.698,5,9.63,44.479,2,9.01,43.232
