HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME
2,12.51,12.51,3,12.68,12.68,4,12.85,12.85,1,12.37,12.37
2,9.44,21.95,3,9.35,22.03,4,9.27,22.12,1,9.51,21.88
2,9.42,31.37,3,9.49,31.52,4,9.48,31.60,1,9.49,31.37
2,9.35,40.72,3,9.33,40.85,4,9.36,40.96,1,9.28,40.65
1,8.89,49.61,3,9.04,49.89,4,9.03,49.99,2,9.18,49.83
1,9.17,58.78,3,9.02,58.91,4,9.04,59.03,2,9.06,58.89
1,9.18,1:07.96,2,9.13,1:08.04,4,9.22,1:08.25,3,9.33,1:08.22
2,9.09,1:17.05,1,8.96,1:17.00,3,9.39,1:17.64,4,9.53,1:17.75
2,9.27,1:26.311,1,9.18,1:26.177,3,9.45,1:27.089,4,9.95,1:27.695
