Sebastian CANO POSITION,Sebastian CANO LAP TIME,Sebastian CANO ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME
1,15.59,15.59,2,15.68,,4,15.96,15.96,3,15.77,15.77
3,12.22,27.81,4,12.24,,1,11.54,27.50,2,11.91,27.68
3,10.72,38.53,4,10.70,,1,10.75,38.25,2,10.73,38.41
2,10.02,48.55,4,10.15,,1,10.14,48.39,3,10.22,48.63
2,9.17,57.72,4,9.36,,1,9.26,57.65,3,9.40,58.03
2,9.33,1:07.05,4,9.08,,1,9.37,1:07.02,3,9.05,1:07.08
1,9.19,1:16.24,3,9.57,,2,9.39,1:16.41,4,9.72,1:16.80
1,9.76,1:26.00,3,9.62,,2,9.69,1:26.10,4,9.67,1:26.47
2,18.28,1:44.260,1,9.83,,3,22.00,1:48.055,1,9.85,1:36.315
