KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME
2,8.36,8.36,3,8.52,8.52,1,8.26,8.26,5,8.78,8.78,4,8.65,8.65,6,9.01,9.01
2,11.64,20.00,3,11.58,20.10,1,11.57,19.83,6,11.63,20.41,4,11.53,20.18,5,11.29,20.30
2,11.30,31.30,3,11.29,31.39,1,11.38,31.21,6,11.30,31.71,5,11.38,31.56,4,11.20,31.50
2,11.33,42.63,3,11.39,42.78,1,11.33,42.54,6,11.36,43.07,5,11.39,42.95,4,11.38,42.88
3,11.11,53.74,1,10.78,53.56,2,11.12,53.66,6,11.07,54.14,5,11.01,53.96,4,10.96,53.84
1,11.23,1:04.97,2,11.43,1:04.99,3,11.42,1:05.08,6,11.28,1:05.42,5,11.30,1:05.26,4,11.30,1:05.14
1,10.93,1:15.90,2,10.97,1:15.96,4,11.07,1:16.15,6,11.06,1:16.48,5,10.95,1:16.21,3,10.95,1:16.09
1,9.91,1:25.81,2,9.92,1:25.88,4,9.96,1:26.11,6,10.62,1:27.10,5,9.99,1:26.20,3,9.90,1:25.99
1,9.96,1:35.77,2,10.04,1:35.92,4,10.00,1:36.11,6,11.09,1:38.19,5,10.03,1:36.23,3,10.01,1:36.00
1,9.66,1:45.43,2,9.65,1:45.57,4,9.71,1:45.82,6,12.13,1:50.32,5,9.83,1:46.06,3,9.73,1:45.73
1,9.30,1:54.73,2,9.26,1:54.83,4,9.59,1:55.41,6,12.23,2:02.55,5,9.62,1:55.68,3,9.56,1:55.29
1,9.18,2:03.91,2,9.18,2:04.01,4,9.62,2:05.03,6,13.96,2:16.51,5,9.76,2:05.44,3,9.65,2:04.94
2,9.31,2:13.22,1,9.18,2:13.19,4,9.88,2:14.91,6,12.61,2:29.12,5,10.15,2:15.59,3,9.87,2:14.81
2,9.39,2:22.608,1,9.31,2:22.497,4,10.17,2:25.080,6,12.90,2:42.019,5,11.45,2:27.035,3,10.20,2:25.007
