KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
4,14.19,14.19,2,13.88,13.88,1,13.77,13.77,3,14.03,14.03
4,10.86,25.05,2,10.94,24.82,1,11.02,24.79,3,10.85,24.88
4,10.54,35.59,1,10.32,35.14,2,10.48,35.27,3,10.58,35.46
4,10.43,46.02,1,10.45,45.59,2,10.54,45.81,3,10.45,45.91
2,9.85,55.87,1,9.86,55.45,4,23.41,1:09.22,3,15.61,1:01.52
2,10.03,1:05.90,1,9.96,1:05.41,4,13.55,1:22.77,3,10.01,1:11.53
2,9.73,1:15.63,1,9.94,1:15.35,4,10.90,1:33.67,3,9.35,1:20.88
1,9.11,1:24.74,2,9.63,1:24.98,4,10.92,1:44.59,3,9.80,1:30.68
1,9.33,1:34.063,2,9.59,1:34.565,0,,PEN,3,10.48,1:41.153
