KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME,PARK Noh Won POSITION,PARK Noh Won LAP TIME,PARK Noh Won ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME
2,7.11,7.11,1,6.87,6.87,3,7.20,7.20,4,7.45,7.45,5,8.12,8.12
3,9.37,16.48,1,8.93,15.80,2,9.00,16.20,4,9.11,16.56,5,10.26,18.38
4,8.83,25.31,1,8.64,24.44,2,8.59,24.79,3,8.67,25.23,5,10.01,28.39
4,9.02,34.33,1,8.89,33.33,2,8.57,33.36,3,8.87,34.10,5,10.46,38.85
4,9.11,43.422,2,9.16,42.49,1,8.77,42.13,3,9.08,43.174,5,10.99,49.815
