SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,Jennifer PICKERING POSITION,Jennifer PICKERING LAP TIME,Jennifer PICKERING ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME
2,7.62,7.62,3,7.71,7.71,1,7.37,7.37,4,7.95,7.95,5,7.99,7.99
3,9.60,17.22,2,9.31,17.02,1,9.37,16.74,4,9.76,17.71,5,9.84,17.83
3,9.02,26.24,1,8.74,25.76,2,9.03,25.77,5,9.37,27.08,4,9.15,26.98
3,9.13,35.37,1,8.80,34.56,2,9.21,34.98,5,9.37,36.45,4,9.34,36.32
3,9.37,44.74,1,9.06,43.62,2,9.35,44.33,0,,PHOTO,0,,PHOTO
