Vladislav HAPON POSITION,Vladislav HAPON LAP TIME,Vladislav HAPON ELAPSED TIME,DEWAGTERE Adriaan POSITION,DEWAGTERE Adriaan LAP TIME,DEWAGTERE Adriaan ELAPSED TIME,Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,Kan SOPONKIJ POSITION,Kan SOPONKIJ LAP TIME,Kan SOPONKIJ ELAPSED TIME,Kaloyan ANGELOV POSITION,Kaloyan ANGELOV LAP TIME,Kaloyan ANGELOV ELAPSED TIME
2,15.39,15.39,4,15.49,15.49,5,15.60,,3,15.46,15.46,1,15.29,15.29
2,11.78,27.17,4,11.84,27.33,5,11.85,,3,11.73,27.19,1,11.82,27.11
3,12.23,39.40,3,12.07,39.40,2,11.91,,5,12.27,39.46,1,12.16,39.27
3,11.04,50.44,1,10.90,50.30,4,11.10,,5,11.14,50.60,2,11.14,50.41
2,10.23,1:00.67,1,10.14,1:00.44,4,10.30,,5,10.46,1:01.06,3,10.34,1:00.75
2,9.21,1:09.88,1,9.36,1:09.80,3,9.26,,5,9.76,1:10.82,4,9.96,1:10.71
3,9.67,1:19.55,1,9.50,1:19.30,2,9.34,,5,10.02,1:20.84,4,9.95,1:20.66
5,23.68,1:43.23,4,19.73,1:39.03,1,10.82,,3,10.10,1:30.94,2,10.26,1:30.92
4,19.17,2:02.367,3,13.89,1:52.894,1,10.57,,1,10.43,1:41.349,2,10.69,1:41.586
