Thomas MOGENDORFF POSITION,Thomas MOGENDORFF LAP TIME,Thomas MOGENDORFF ELAPSED TIME,Karl LINDQVIST POSITION,Karl LINDQVIST LAP TIME,Karl LINDQVIST ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Dejan HORVACKI POSITION,Dejan HORVACKI LAP TIME,Dejan HORVACKI ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
0,8.219,8.219,0,37.034,37.034,0,7.871,7.871,0,8.408,8.408,0,7.488,7.488,0,8.379,8.379
0,9.738,17.956,0,,,0,9.793,17.664,0,10.984,19.392,0,9.838,17.327,0,9.684,18.063
0,9.250,27.206,0,,,0,9.375,27.038,0,11.037,30.428,0,9.498,26.825,0,9.386,27.449
0,9.732,36.939,0,,,0,9.748,36.786,0,11.101,41.529,0,10.165,36.990,0,9.554,37.003
0,10.249,47.188,0,,47.313,0,10.233,47.019,0,11.817,53.346,0,10.383,47.373,0,10.374,47.376
0,10.265,57.453,0,10.747,58.060,0,10.506,57.525,0,11.273,1:04.619,0,10.318,57.691,0,10.534,57.910
0,11.040,1:08.492,0,10.857,1:08.917,0,11.150,1:08.676,0,12.020,1:16.638,0,11.074,1:08.765,0,11.010,1:08.920
0,11.124,1:19.616,0,11.015,1:19.931,0,11.144,1:19.819,0,12.449,1:29.087,0,10.949,1:19.714,0,10.903,1:19.823
0,10.822,1:30.438,0,10.806,1:30.738,0,10.593,1:30.413,0,14.082,1:43.169,0,10.551,1:30.266,0,10.555,1:30.378
0,10.020,1:40.458,0,10.766,1:41.504,0,10.097,1:40.509,0,13.249,1:56.418,0,9.575,1:39.840,0,27.200,1:57.578
0,10.092,1:50.550,0,11.151,1:52.655,0,9.649,1:50.158,0,13.981,2:10.398,0,9.639,1:49.479,0,12.987,2:10.565
0,10.438,2:00.988,0,11.438,2:04.093,0,9.606,1:59.764,0,14.255,2:24.653,0,9.726,1:59.204,0,11.842,2:22.407
0,10.821,2:11.809,0,11.592,2:15.685,0,9.859,2:09.624,0,13.246,2:37.899,0,9.732,2:08.937,0,11.383,2:33.790
0,,,0,,,0,,,0,,,0,,,0,,
