Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
3,12.98,12.98,1,12.88,12.88,2,12.92,12.92,4,13.12,13.12
4,10.04,23.03,3,10.05,22.94,1,9.90,22.82,2,9.76,22.88
4,9.33,32.36,3,9.20,32.15,1,8.86,31.68,2,9.02,31.91
4,9.30,41.67,3,9.36,41.51,1,9.28,40.97,2,9.47,41.39
4,9.35,51.02,3,9.24,50.76,1,9.49,50.47,2,9.28,50.67
4,9.13,1:00.15,3,9.14,59.90,1,9.00,59.47,2,9.16,59.84
4,8.98,1:09.14,2,8.91,1:08.82,1,9.11,1:08.58,3,9.07,1:08.91
4,9.01,1:18.16,1,8.93,1:17.75,2,9.19,1:17.77,3,8.94,1:17.86
4,8.98,1:27.134,1,9.01,1:26.756,2,9.07,1:26.837,3,9.06,1:26.920
