KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
1,14.22,14.22,2,14.35,14.35,4,14.60,14.60,3,14.47,14.47
1,11.09,25.31,2,11.05,25.40,4,11.01,25.61,3,11.06,25.53
1,10.87,36.18,2,10.87,36.27,4,10.81,36.42,3,10.80,36.33
2,10.59,46.77,1,10.29,46.56,4,10.59,47.01,3,10.53,46.86
2,9.91,56.68,1,9.96,56.52,4,9.96,56.97,3,9.96,56.82
2,9.96,1:06.64,1,10.02,1:06.54,4,9.89,1:06.86,3,9.92,1:06.74
2,9.99,1:16.63,1,10.07,1:16.61,4,10.04,1:16.90,3,10.07,1:16.81
4,27.31,1:43.94,2,10.36,1:26.97,3,10.26,1:27.16,1,10.11,1:26.92
4,14.90,1:58.831,2,10.44,1:37.410,3,10.36,1:37.512,1,10.39,1:37.308
