Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,9.00,9.00,4,9.36,9.36,5,9.51,9.51,6,9.72,9.72,2,9.08,9.08,3,9.20,9.20
1,13.36,22.36,3,13.22,22.58,6,13.49,23.00,5,13.15,22.87,2,13.39,22.47,4,13.42,22.62
2,11.09,33.45,1,10.78,33.36,6,10.99,33.99,5,10.99,33.86,3,11.06,33.53,4,11.06,33.68
4,10.77,44.22,1,10.62,43.98,6,10.48,44.47,5,10.48,44.34,3,10.61,44.14,2,10.40,44.08
1,10.30,54.52,2,10.63,54.61,6,10.59,55.06,5,10.58,54.92,4,10.65,54.79,3,10.62,54.70
5,10.51,1:05.03,4,10.39,1:05.00,2,9.84,1:04.90,1,9.93,1:04.85,6,10.33,1:05.12,3,10.22,1:04.92
5,9.71,1:14.74,4,9.66,1:14.66,2,9.53,1:14.43,1,9.47,1:14.32,6,9.74,1:14.86,3,9.62,1:14.54
5,9.30,1:24.04,4,9.29,1:23.95,2,9.28,1:23.71,1,9.31,1:23.63,6,9.31,1:24.17,3,9.29,1:23.83
5,9.04,1:33.08,2,8.86,1:32.81,1,9.04,1:32.75,3,9.23,1:32.86,6,9.05,1:33.22,4,9.14,1:32.97
5,9.13,1:42.21,1,9.00,1:41.81,2,9.17,1:41.92,3,9.16,1:42.02,6,9.15,1:42.37,4,9.13,1:42.10
4,9.14,1:51.35,1,9.19,1:51.00,6,10.36,1:52.28,2,9.14,1:51.16,5,9.20,1:51.57,3,9.13,1:51.23
4,9.18,2:00.53,1,9.20,2:00.20,6,10.08,2:02.36,3,9.27,2:00.43,5,9.55,2:01.12,2,9.06,2:00.29
4,9.29,2:09.82,1,9.20,2:09.40,6,10.14,2:12.50,3,9.24,2:09.67,5,10.01,2:11.13,2,9.28,2:09.57
3,9.11,2:18.928,1,9.35,2:18.743,6,12.57,2:25.067,4,9.49,2:19.151,5,10.41,2:21.532,2,9.34,2:18.906
