Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME
2,7.22,7.22,1,7.05,7.05,3,7.37,7.37
2,9.35,16.57,1,9.40,16.45,3,9.41,16.78
1,8.67,25.24,2,8.93,25.38,3,8.97,25.75
1,9.02,34.26,2,8.90,34.28,3,9.06,34.81
2,9.30,43.560,1,9.27,43.546,3,9.28,44.087
