JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,13.50,13.50,4,13.71,13.71,5,13.85,13.85,3,13.57,13.57,1,13.42,13.42
2,10.23,23.74,3,10.05,23.76,5,9.99,23.84,4,10.22,23.79,1,10.29,23.71
4,9.89,33.64,5,10.18,33.95,2,9.76,33.60,3,9.82,33.62,1,9.88,33.59
3,9.98,43.62,5,9.92,43.87,2,9.95,43.56,1,9.88,43.51,4,10.06,43.66
3,9.87,53.49,5,9.99,53.87,4,9.93,53.49,2,9.98,53.49,1,9.62,53.29
3,9.56,1:03.05,5,9.79,1:03.66,4,9.57,1:03.07,2,9.51,1:03.01,1,9.66,1:02.95
2,9.73,1:12.79,5,9.65,1:13.31,3,9.78,1:12.85,1,9.17,1:12.19,4,10.06,1:13.02
1,9.80,1:22.59,5,9.76,1:23.08,3,9.91,1:22.76,4,10.57,1:22.77,2,9.69,1:22.72
1,10.01,1:32.597,5,10.02,1:33.091,3,10.03,1:32.785,2,9.91,1:32.677,4,10.16,1:32.872
