Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Mai SHINKAI POSITION,Mai SHINKAI LAP TIME,Mai SHINKAI ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
6,10.450,1:13.210,2,10.320,1:12.840,5,10.690,1:13.200,1,10.500,1:12.760,3,10.620,1:12.980,4,10.750,1:12.990
6,10.660,1:23.880,1,10.490,1:23.330,5,10.450,1:23.650,2,10.590,1:23.350,4,10.510,1:23.500,3,10.490,1:23.480
3,10.370,1:34.250,2,10.850,1:34.180,4,10.620,1:34.280,1,10.700,1:34.050,5,10.780,1:34.290,6,10.830,1:34.310
5,10.460,1:44.720,2,10.280,1:44.470,6,10.660,1:44.950,3,10.410,1:44.470,1,9.740,1:44.030,4,10.170,1:44.490
5,10.230,1:54.950,3,9.920,1:54.390,6,10.010,1:54.960,2,9.600,1:54.070,1,9.640,1:53.680,4,10.190,1:54.690
4,9.630,2:04.590,3,9.950,2:04.350,5,9.670,2:04.640,2,10.140,2:04.210,1,9.920,2:03.600,6,37.250,2:31.940
4,10.110,2:14.710,2,10.100,2:14.450,5,10.320,2:14.960,3,10.310,2:14.520,1,10.210,2:13.810,6,19.230,2:51.170
4,10.430,2:25.150,2,10.100,2:24.560,5,11.870,2:26.830,3,10.320,2:24.850,1,10.450,2:24.270,6,14.010,3:05.190
3,10.770,2:35.920,2,10.300,2:34.860,5,11.510,2:38.350,4,11.120,2:35.980,1,10.430,2:34.700,6,13.140,3:18.330
