KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
4,12.55,12.55,1,7.55,7.55,3,8.11,8.11,2,7.69,7.69
4,9.84,22.39,1,9.76,17.31,3,9.97,18.08,2,9.71,17.40
3,9.12,31.51,1,9.10,26.41,4,18.45,36.53,2,9.09,26.49
3,9.23,40.74,1,9.32,35.73,4,15.09,51.62,2,9.34,35.83
3,9.51,50.243,1,9.62,45.348,4,12.64,1:04.253,2,9.60,45.426
