Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME
5,8.42,8.42,2,8.23,8.23,1,8.10,,3,8.32,8.32,4,8.33,8.33,6,8.56,8.56,7,8.76,8.76,8,8.94,8.94
6,11.25,19.67,3,11.19,19.42,2,11.15,,4,11.24,19.56,1,10.78,19.11,5,11.05,19.61,7,11.07,19.83,8,11.06,20.00
6,10.04,29.71,2,9.82,29.24,4,10.24,,5,10.03,29.59,3,10.24,29.35,1,9.47,29.08,7,10.01,29.84,8,10.01,30.01
6,9.75,39.46,3,9.84,39.08,4,9.78,,5,9.76,39.35,2,9.72,39.07,1,9.86,38.94,7,9.63,39.47,8,9.60,39.61
7,9.25,48.71,3,9.38,48.46,4,9.20,,5,9.24,48.59,1,9.22,48.29,2,9.43,48.37,6,9.21,48.68,7,9.10,48.71
3,9.12,57.83,2,9.30,57.76,1,9.15,,6,19.56,1:08.15,7,20.48,1:08.77,4,9.50,57.87,5,9.29,57.97,8,21.29,1:10.00
3,9.42,1:07.25,2,9.40,1:07.16,1,9.43,,7,22.69,1:30.84,6,18.21,1:26.98,5,9.57,1:07.44,4,9.38,1:07.35,8,27.95,1:37.95
2,9.73,1:16.98,3,9.84,1:17.00,1,9.86,,7,16.63,1:47.47,6,13.12,1:40.10,5,9.78,1:17.22,4,9.76,1:17.11,8,19.28,1:57.23
2,9.95,1:26.93,3,10.05,1:27.05,1,9.92,,7,14.98,2:02.45,6,12.75,1:52.85,5,10.04,1:27.26,4,10.01,1:27.12,8,17.91,2:15.14
1,9.47,1:36.40,4,9.51,1:36.56,2,9.67,,7,15.12,2:17.57,6,13.50,2:06.35,5,9.57,1:36.83,3,9.41,1:36.53,8,15.87,2:31.01
1,9.11,1:45.51,2,9.11,1:45.67,4,9.46,,7,15.06,2:32.63,6,13.36,2:19.71,5,9.23,1:46.06,3,9.36,1:45.89,8,13.00,2:44.01
1,9.04,1:54.55,2,9.08,1:54.75,3,9.28,,7,13.11,2:45.74,6,12.94,2:32.65,4,9.40,1:55.46,5,9.99,1:55.88,8,11.18,2:55.19
1,9.13,2:03.68,2,9.07,2:03.82,3,9.11,,7,13.21,2:58.95,6,12.58,2:45.23,4,9.35,2:04.81,5,11.45,2:07.33,8,10.23,3:05.42
1,9.33,2:13.007,2,9.39,2:13.206,3,9.19,,6,13.66,3:12.605,5,11.51,2:56.737,3,9.86,2:14.668,4,12.56,2:19.894,7,9.73,3:15.152
