HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,OH Han Yuan POSITION,OH Han Yuan LAP TIME,OH Han Yuan ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,ROSS-WADDELL Kyle POSITION,ROSS-WADDELL Kyle LAP TIME,ROSS-WADDELL Kyle ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME
2,8.72,8.72,1,8.45,8.45,4,9.05,9.05,6,9.37,,3,8.85,8.85,5,9.20,9.20,7,9.53,9.53
2,12.01,20.73,1,12.16,20.61,4,11.93,20.98,6,11.91,,3,12.02,20.87,5,11.92,21.12,7,11.91,21.44
2,11.43,32.16,1,11.41,32.02,4,11.37,32.35,6,11.34,,3,11.37,32.24,5,11.36,32.48,7,11.35,32.79
2,11.09,43.25,1,11.14,43.16,4,11.15,43.50,6,11.11,,3,11.12,43.36,5,11.14,43.62,7,11.06,43.85
1,11.15,54.40,2,11.27,54.43,4,11.08,54.58,7,11.03,,5,11.25,54.61,3,10.90,54.52,6,10.83,54.68
3,9.82,1:04.22,5,10.03,1:04.46,2,9.47,1:04.05,7,9.90,,6,9.93,1:04.54,4,9.80,1:04.32,1,9.32,1:04.00
3,9.28,1:13.50,5,9.26,1:13.72,2,9.36,1:13.41,7,9.25,,6,9.19,1:13.73,4,9.27,1:13.59,1,9.31,1:13.31
3,9.43,1:22.93,7,9.55,1:23.27,2,9.45,1:22.86,5,9.14,,6,9.43,1:23.16,4,9.45,1:23.04,1,9.46,1:22.77
2,9.29,1:32.22,5,9.40,1:32.67,6,17.74,1:40.60,7,21.06,,4,9.40,1:32.56,3,9.34,1:32.38,1,9.27,1:32.04
2,9.35,1:41.57,5,9.53,1:42.20,6,17.98,1:58.58,7,19.15,,4,9.39,1:41.95,3,9.28,1:41.66,1,9.41,1:41.45
2,9.24,1:50.81,5,9.79,1:51.99,6,12.33,2:10.91,7,13.21,,4,9.99,1:51.94,3,9.41,1:51.07,1,9.19,1:50.64
2,9.41,2:00.22,4,10.33,2:02.32,6,10.42,2:21.33,7,11.30,,5,10.51,2:02.45,3,9.58,2:00.65,1,8.96,1:59.60
2,9.67,2:09.89,4,10.88,2:13.20,6,10.82,2:32.15,7,11.04,,5,10.86,2:13.31,3,9.67,2:10.32,1,9.13,2:08.73
2,9.90,2:19.79,5,11.30,2:24.50,6,10.03,2:42.18,7,15.28,2:54.09,4,10.96,2:24.27,3,9.77,2:20.09,1,9.78,2:18.51
